127.0.0.1 - - [03/Jan/2020:09:37:20 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:37:20 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 200 1582
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:39:23 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 200 1685
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:40:07 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 200 1682
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:40:09 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:40:10 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:40:10 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:40:10 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:40:10 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:40:11 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:40:11 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:46:50 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 200 1751
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:53:05 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 200 2126
0:0:0:0:0:0:0:1 - - [03/Jan/2020:10:15:40 +0900] "GET /clientweb/css/css_basic_test02.html HTTP/1.1" 200 1908
