127.0.0.1 - - [10/Jan/2020:08:56:54 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [10/Jan/2020:08:56:55 +0900] "GET /clientweb/js_bom/order_exam.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:08:56:55 +0900] "GET /clientweb/images/pension.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:25:36 +0900] "GET /clientweb/js_dom/function_expression_exam.html HTTP/1.1" 200 1101
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:27:49 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 1774
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:27:49 +0900] "GET /clientweb/images/m_garden07.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:34:27 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 1952
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:34:27 +0900] "GET /clientweb/images/m_garden07.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:34:27 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:34:27 +0900] "GET /clientweb/images/m_garden07.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:34:28 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:34:28 +0900] "GET /clientweb/images/m_garden07.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:34:28 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:34:28 +0900] "GET /clientweb/images/m_garden07.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:34:28 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:34:28 +0900] "GET /clientweb/images/m_garden07.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:34:34 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 304 -
